     948    1800
  0.1020942E+02  0.2393160E+01
  0.9354560E+01  0.4647230E+01
  0.7985110E+01  0.6631230E+01
  0.6180650E+01  0.8229840E+01
  0.4046050E+01  0.9350160E+01
  0.1705370E+01  0.9927090E+01
 -0.7053700E+00  0.9927090E+01
 -0.3046050E+01  0.9350160E+01
 -0.5180650E+01  0.8229840E+01
 -0.6985110E+01  0.6631230E+01
 -0.8354560E+01  0.4647230E+01
 -0.9209420E+01  0.2393150E+01
 -0.9500000E+01  0.0000000E+00
 -0.9209420E+01 -0.2393160E+01
 -0.8354560E+01 -0.4647230E+01
 -0.6985110E+01 -0.6631230E+01
 -0.5180650E+01 -0.8229840E+01
 -0.3046050E+01 -0.9350160E+01
 -0.7053700E+00 -0.9927090E+01
  0.1705370E+01 -0.9927090E+01
  0.4046050E+01 -0.9350160E+01
  0.6180650E+01 -0.8229840E+01
  0.7985110E+01 -0.6631220E+01
  0.9354560E+01 -0.4647230E+01
  0.1020942E+02 -0.2393160E+01
  0.1050000E+02  0.0000000E+00
  0.9853000E+00 -0.2160000E-02
  0.9666200E+00 -0.4800000E-02
  0.9428800E+00 -0.8060000E-02
  0.9126800E+00 -0.1208000E-01
  0.8742800E+00 -0.1697000E-01
  0.8253900E+00 -0.2287000E-01
  0.7631500E+00 -0.2988000E-01
  0.6967900E+00 -0.3672000E-01
  0.6355700E+00 -0.4245000E-01
  0.5791200E+00 -0.4720000E-01
  0.5270700E+00 -0.5108000E-01
  0.4829200E+00 -0.5393000E-01
  0.4496000E+00 -0.5578000E-01
  0.4244600E+00 -0.5699000E-01
  0.4055100E+00 -0.5779000E-01
  0.3912300E+00 -0.5832000E-01
  0.3804600E+00 -0.5867000E-01
  0.3723600E+00 -0.5892000E-01
  0.3625800E+00 -0.5918000E-01
  0.3505200E+00 -0.5946000E-01
  0.3356500E+00 -0.5973000E-01
  0.3173000E+00 -0.5994000E-01
  0.2946700E+00 -0.6000000E-01
  0.2667700E+00 -0.5975000E-01
  0.2323700E+00 -0.5887000E-01
  0.1900300E+00 -0.5675000E-01
  0.1426200E+00 -0.5263000E-01
  0.1061700E+00 -0.4774000E-01
  0.7820000E-01 -0.4250000E-01
  0.5679000E-01 -0.3718000E-01
  0.4044000E-01 -0.3193000E-01
  0.2775000E-01 -0.2678000E-01
  0.1763000E-01 -0.2158000E-01
  0.9560000E-02 -0.1591000E-01
  0.3130000E-02 -0.8560000E-02
  0.0000000E+00  0.0000000E+00
  0.2610000E-02  0.7630000E-02
  0.8910000E-02  0.1534000E-01
  0.1681000E-01  0.2109000E-01
  0.2673000E-01  0.2631000E-01
  0.3916000E-01  0.3145000E-01
  0.5510000E-01  0.3669000E-01
  0.7599000E-01  0.4201000E-01
  0.1032900E+00  0.4727000E-01
  0.1388700E+00  0.5221000E-01
  0.1851600E+00  0.5642000E-01
  0.2389200E+00  0.5909000E-01
  0.2987800E+00  0.6001000E-01
  0.3653000E+00  0.5911000E-01
  0.4271900E+00  0.5687000E-01
  0.4749400E+00  0.5440000E-01
  0.5117900E+00  0.5210000E-01
  0.5402500E+00  0.5013000E-01
  0.5622300E+00  0.4850000E-01
  0.5792200E+00  0.4717000E-01
  0.5923500E+00  0.4611000E-01
  0.6024900E+00  0.4527000E-01
  0.6106500E+00  0.4458000E-01
  0.6227100E+00  0.4355000E-01
  0.6405300E+00  0.4198000E-01
  0.6668800E+00  0.3957000E-01
  0.7057800E+00  0.3582000E-01
  0.7631500E+00  0.2988000E-01
  0.8253900E+00  0.2287000E-01
  0.8742800E+00  0.1697000E-01
  0.9126800E+00  0.1208000E-01
  0.9428800E+00  0.8060000E-02
  0.9666200E+00  0.4800000E-02
  0.9853000E+00  0.2160000E-02
  0.1000000E+01  0.0000000E+00
  0.6119316E+00 -0.9933293E-01
  0.7363380E+00 -0.9508093E-01
  0.4382099E+00 -0.8089884E-01
  0.4680659E+00 -0.8738042E-01
  0.5567687E+00 -0.9842294E-01
  0.8007730E+00 -0.8411383E-01
  0.8982478E+00 -0.5196505E-01
  0.8555900E+00 -0.6760830E-01
  0.5076862E+00 -0.9419529E-01
  0.9579247E+00 -0.2954897E-01
  0.6717141E+00 -0.9871244E-01
  0.9785293E+00 -0.2165970E-01
  0.9316951E+00 -0.3948193E-01
  0.2790215E-01  0.4107506E-01
  0.4157646E+00 -0.7585786E-01
  0.3988863E+00 -0.7196606E-01
 -0.6851970E-03 -0.1838523E-01
  0.3861855E+00 -0.6897214E-01
  0.3766835E+00 -0.6765769E-01
